file,left_eye,right_eye,mouth
00000.png,"(282, 193)(360, 271)","(138, 174)(238, 274)","(186, 343)(314, 407)",
00068.png,"(288, 192)(362, 266)","(156, 191)(230, 265)","(196, 361)(318, 422)",
00069.png,"(275, 213)(338, 276)","(155, 207)(217, 269)","(194, 362)(310, 420)",
00070.png,"(284, 183)(373, 272)","(157, 199)(228, 270)",
00071.png,"(289, 198)(356, 265)","(155, 194)(230, 269)","(182, 330)(328, 403)",
00072.png,"(282, 186)(367, 271)","(143, 181)(232, 270)","(188, 345)(328, 415)",
00073.png,"(300, 204)(355, 259)","(151, 193)(232, 274)","(173, 336)(321, 410)",
00074.png,"(227, 166)(363, 302)","(144, 208)(223, 287)","(182, 344)(339, 422)",
00075.png,"(288, 193)(358, 263)","(142, 168)(245, 271)","(212, 356)(327, 413)",
00076.png,"(280, 181)(373, 274)","(156, 191)(230, 265)","(163, 346)(341, 435)",
00077.png,"(290, 189)(360, 259)","(148, 183)(232, 267)","(207, 308)(327, 368)",
00078.png,"(287, 195)(360, 268)","(166, 202)(231, 267)","(185, 340)(330, 413)",
00079.png,"(283, 189)(360, 266)","(182, 353)(340, 432)",
00080.png,"(282, 210)(347, 275)","(160, 197)(230, 267)","(216, 352)(337, 413)",
00081.png,"(280, 185)(368, 273)","(142, 178)(235, 271)","(176, 337)(337, 418)",
00082.png,"(284, 189)(360, 265)","(158, 194)(227, 263)","(189, 361)(318, 426)",
00083.png,"(281, 189)(352, 260)","(150, 191)(227, 268)","(191, 350)(328, 419)",
00084.png,"(223, 272)(271, 320)","(165, 211)(218, 264)","(210, 348)(330, 408)",
00085.png,
00086.png,"(283, 190)(367, 274)","(156, 191)(237, 272)","(175, 325)(333, 404)",
00087.png,"(277, 170)(377, 270)","(172, 333)(327, 410)",
00088.png,"(165, 216)(217, 268)","(192, 353)(316, 415)",
00089.png,"(270, 155)(383, 268)","(178, 205)(230, 257)","(185, 367)(293, 421)",
00090.png,"(288, 195)(363, 270)","(159, 201)(223, 265)","(181, 327)(339, 406)",
00091.png,"(281, 177)(378, 274)","(189, 363)(289, 413)",
00092.png,"(195, 343)(343, 417)",
00093.png,"(295, 190)(370, 265)","(158, 193)(229, 264)","(175, 334)(342, 417)",
00094.png,"(297, 194)(364, 261)","(154, 190)(237, 273)","(174, 343)(341, 427)",
00095.png,"(173, 333)(322, 408)",
00096.png,"(298, 192)(360, 254)","(183, 342)(310, 405)",
00097.png,"(283, 183)(364, 264)","(204, 319)(322, 378)",
00098.png,"(289, 196)(358, 265)","(156, 194)(226, 264)","(182, 352)(333, 427)",
00099.png,"(286, 185)(364, 263)","(158, 192)(232, 266)","(206, 364)(302, 412)",
00100.png,"(290, 201)(358, 269)","(159, 203)(218, 262)","(185, 351)(320, 419)",
00101.png,"(281, 194)(356, 269)","(155, 192)(230, 267)","(187, 325)(324, 394)",
00102.png,"(277, 184)(366, 273)","(141, 172)(243, 274)","(209, 349)(305, 397)",
00103.png,"(283, 187)(366, 270)","(149, 184)(235, 270)","(182, 322)(330, 396)",
00104.png,"(291, 195)(357, 261)","(154, 190)(233, 269)","(190, 344)(325, 412)",
00105.png,"(289, 206)(343, 260)","(150, 176)(249, 275)","(286, 285)(351, 317)",
00106.png,"(289, 193)(361, 265)","(183, 349)(339, 427)",
00107.png,
00108.png,"(289, 188)(366, 265)","(152, 182)(237, 267)","(185, 333)(319, 400)",
00109.png,
00110.png,"(283, 187)(369, 273)","(161, 190)(242, 271)","(169, 330)(338, 414)",
00111.png,"(267, 188)(342, 263)","(221, 306)(302, 347)",
00112.png,
00113.png,"(284, 190)(361, 267)","(150, 183)(237, 270)","(190, 353)(335, 425)",
00114.png,"(278, 188)(353, 263)","(170, 202)(226, 258)","(194, 357)(300, 410)",
00115.png,"(296, 203)(357, 264)","(161, 204)(222, 265)","(188, 324)(323, 392)",
00116.png,"(287, 190)(369, 272)","(154, 194)(229, 269)","(205, 344)(316, 400)",
00117.png,"(309, 197)(363, 251)","(163, 192)(242, 271)","(182, 365)(311, 430)",
00118.png,
00119.png,"(275, 173)(372, 270)","(153, 187)(236, 270)","(169, 345)(323, 422)",
00120.png,
00121.png,
00122.png,"(281, 208)(345, 272)","(152, 198)(233, 279)","(181, 348)(318, 416)",
00123.png,"(290, 196)(349, 255)","(161, 185)(235, 259)","(192, 339)(334, 410)",
00124.png,"(290, 190)(367, 267)","(157, 197)(231, 271)","(186, 354)(327, 424)",
00125.png,"(283, 200)(341, 258)","(169, 203)(225, 259)","(198, 356)(323, 418)",
00126.png,"(290, 195)(363, 268)","(148, 177)(240, 269)","(185, 342)(342, 420)",
00127.png,"(291, 200)(355, 264)","(155, 188)(235, 268)","(191, 339)(329, 408)",
00128.png,"(284, 184)(367, 267)","(145, 179)(237, 271)","(181, 355)(322, 426)",
00129.png,"(304, 191)(372, 259)","(147, 185)(234, 272)","(189, 339)(328, 408)",
00130.png,"(283, 185)(365, 267)","(159, 201)(221, 263)","(195, 371)(327, 437)",
00131.png,"(151, 211)(224, 284)","(189, 336)(330, 406)",
00132.png,"(285, 194)(355, 264)","(144, 174)(245, 275)","(225, 365)(321, 413)",
00133.png,"(284, 186)(370, 272)","(154, 191)(230, 267)","(206, 365)(324, 424)",
00134.png,"(294, 196)(360, 262)","(148, 187)(231, 270)","(182, 345)(329, 419)",
00135.png,
00136.png,"(285, 177)(373, 265)","(160, 203)(234, 277)","(174, 336)(313, 405)",
00137.png,"(295, 200)(359, 264)","(168, 202)(235, 269)","(185, 329)(318, 395)",
00138.png,"(182, 346)(347, 429)",
00139.png,"(270, 179)(360, 269)","(170, 204)(227, 261)","(176, 326)(321, 399)",
00140.png,"(280, 187)(366, 273)","(156, 190)(234, 268)","(176, 340)(334, 419)",
00141.png,"(286, 199)(359, 272)","(156, 194)(231, 269)","(191, 326)(335, 398)",
00142.png,"(291, 206)(351, 266)","(170, 204)(228, 262)","(162, 349)(342, 439)",
00143.png,"(285, 183)(369, 267)","(147, 188)(231, 272)","(182, 323)(334, 399)",
00144.png,"(289, 196)(357, 264)","(157, 198)(224, 265)","(192, 340)(315, 401)",
00145.png,"(282, 190)(359, 267)","(152, 188)(230, 266)","(207, 360)(311, 412)",
00146.png,"(280, 182)(372, 274)","(143, 181)(236, 274)","(182, 325)(336, 402)",
00147.png,"(279, 185)(361, 267)","(158, 190)(229, 261)","(194, 348)(331, 416)",
00148.png,"(277, 182)(368, 273)","(147, 182)(239, 274)","(195, 359)(303, 413)",
00149.png,"(289, 195)(360, 266)","(145, 188)(231, 274)","(173, 328)(332, 408)",
00150.png,"(287, 193)(363, 269)","(152, 196)(227, 271)","(176, 331)(335, 411)",
00151.png,"(274, 178)(368, 272)","(168, 204)(227, 263)","(191, 356)(300, 410)",
00152.png,"(284, 190)(363, 269)","(149, 188)(226, 265)","(167, 345)(319, 421)",
00153.png,"(155, 208)(219, 272)","(175, 347)(335, 427)",
00154.png,"(210, 288)(258, 336)","(118, 176)(241, 299)","(184, 341)(344, 421)",
00155.png,"(289, 199)(362, 272)","(152, 196)(226, 270)","(153, 319)(347, 416)",
00156.png,"(273, 194)(350, 271)","(157, 194)(227, 264)","(173, 338)(330, 417)",
00157.png,"(288, 192)(361, 265)","(160, 186)(240, 266)","(212, 361)(321, 415)",
00158.png,"(271, 176)(364, 269)","(152, 184)(236, 268)","(199, 356)(314, 414)",
00159.png,"(281, 213)(351, 283)","(154, 196)(243, 285)","(199, 376)(310, 431)",
00160.png,"(282, 192)(354, 264)","(160, 184)(241, 265)","(185, 362)(322, 430)",
00161.png,"(290, 200)(355, 265)","(159, 192)(237, 270)","(192, 334)(322, 399)",
00162.png,"(179, 328)(350, 414)",
00163.png,"(286, 192)(365, 271)","(152, 189)(234, 271)","(195, 339)(320, 402)",
00164.png,"(280, 185)(369, 274)","(154, 196)(221, 263)","(164, 345)(342, 434)",
00165.png,
00166.png,"(287, 190)(368, 271)","(151, 189)(231, 269)","(186, 359)(311, 422)",
00167.png,"(288, 194)(363, 269)","(155, 196)(225, 266)","(179, 334)(327, 408)",
00168.png,"(281, 191)(362, 272)","(145, 177)(236, 268)","(205, 328)(327, 389)",
00169.png,"(214, 293)(251, 330)","(177, 332)(342, 415)",
00170.png,"(274, 166)(376, 268)","(148, 184)(223, 259)","(147, 325)(362, 432)",
00171.png,"(294, 198)(358, 262)","(158, 200)(222, 264)","(181, 326)(328, 399)",
00172.png,"(275, 170)(379, 274)","(163, 187)(243, 267)","(184, 351)(319, 418)",
00173.png,
00174.png,"(281, 187)(367, 273)","(156, 196)(227, 267)","(180, 333)(332, 409)",
00175.png,"(293, 193)(366, 266)","(155, 197)(223, 265)","(187, 347)(325, 416)",
00176.png,"(283, 188)(369, 274)","(158, 190)(234, 266)","(196, 337)(318, 398)",
00177.png,"(280, 180)(370, 270)","(149, 191)(224, 266)","(202, 369)(305, 420)",
00178.png,"(288, 193)(364, 269)","(151, 192)(230, 271)","(162, 319)(349, 412)",
00179.png,"(279, 183)(369, 273)","(147, 178)(235, 266)","(182, 343)(345, 425)",
00180.png,"(288, 193)(360, 265)","(121, 167)(241, 287)","(177, 336)(319, 407)",
00181.png,"(289, 194)(360, 265)","(154, 192)(229, 267)","(188, 344)(327, 414)",
00182.png,"(301, 191)(371, 261)","(150, 192)(227, 269)","(179, 334)(333, 411)",
00183.png,"(289, 201)(349, 261)","(145, 184)(240, 279)","(172, 335)(319, 408)",
00184.png,"(276, 191)(356, 271)","(150, 170)(245, 265)","(223, 373)(310, 417)",
00185.png,
00186.png,"(309, 202)(363, 256)","(153, 194)(222, 263)","(167, 331)(361, 428)",
00187.png,"(164, 201)(231, 268)","(190, 347)(323, 413)",
00188.png,"(284, 192)(361, 269)","(166, 198)(237, 269)","(195, 336)(316, 396)",
00189.png,"(290, 199)(355, 264)","(147, 184)(237, 274)","(188, 343)(314, 406)",
00190.png,"(141, 197)(230, 286)","(191, 352)(328, 421)",
00191.png,"(293, 167)(368, 242)","(192, 321)(324, 387)",
00192.png,"(278, 205)(347, 274)","(168, 198)(252, 282)","(96, 281)(265, 366)",
00193.png,"(280, 212)(341, 273)","(156, 194)(237, 275)","(200, 356)(338, 425)",
00194.png,"(293, 196)(364, 267)","(162, 201)(224, 263)","(189, 381)(327, 450)",
00195.png,"(156, 219)(209, 272)","(190, 348)(300, 403)",
00196.png,"(284, 189)(371, 276)","(151, 190)(229, 268)","(180, 332)(326, 405)",
00197.png,"(288, 197)(360, 269)","(157, 199)(226, 268)","(170, 332)(339, 417)",
00198.png,"(278, 191)(351, 264)","(157, 198)(226, 267)",
00199.png,
00200.png,"(282, 182)(368, 268)","(153, 189)(229, 265)","(181, 358)(287, 411)",
00201.png,"(282, 186)(361, 265)","(154, 182)(240, 268)","(191, 347)(334, 419)",
00202.png,"(290, 198)(361, 269)","(189, 327)(324, 394)",
00203.png,"(280, 195)(359, 274)","(159, 204)(225, 270)","(184, 304)(293, 358)",
00204.png,"(290, 194)(364, 268)","(156, 193)(228, 265)","(193, 342)(309, 400)",
00205.png,
00206.png,"(273, 178)(369, 274)","(150, 184)(236, 270)","(185, 330)(322, 399)",
00207.png,"(286, 191)(366, 271)","(154, 193)(229, 268)","(164, 330)(336, 416)",
00208.png,"(286, 202)(358, 274)","(152, 204)(232, 284)","(170, 395)(285, 452)",
00209.png,"(279, 177)(377, 275)","(153, 189)(233, 269)","(184, 342)(321, 411)",
00210.png,"(287, 187)(367, 267)","(157, 201)(228, 272)","(215, 382)(347, 448)",
00211.png,"(280, 185)(364, 269)","(160, 199)(229, 268)","(178, 331)(322, 403)",
00212.png,"(286, 194)(354, 262)","(158, 195)(224, 261)","(181, 343)(327, 416)",
00213.png,"(277, 181)(364, 268)","(154, 188)(225, 259)","(181, 353)(319, 422)",
00214.png,"(277, 188)(365, 276)","(156, 191)(225, 260)","(151, 328)(345, 425)",
00215.png,"(281, 193)(359, 271)","(150, 183)(234, 267)","(176, 331)(350, 418)",
00216.png,"(287, 201)(359, 273)","(135, 155)(247, 267)","(194, 353)(322, 417)",
00217.png,"(276, 191)(358, 273)","(160, 188)(245, 273)","(188, 339)(327, 408)",
00218.png,"(286, 193)(361, 268)","(156, 191)(228, 263)","(183, 328)(330, 402)",
00219.png,"(284, 186)(366, 268)","(146, 192)(223, 269)","(184, 351)(340, 429)",
00220.png,"(277, 184)(368, 275)","(148, 194)(224, 270)","(164, 325)(331, 408)",
00221.png,"(294, 193)(367, 266)","(153, 191)(229, 267)","(184, 353)(330, 426)",
00222.png,"(285, 191)(354, 260)","(158, 183)(233, 258)","(199, 376)(308, 430)",
00223.png,"(277, 194)(361, 278)","(162, 337)(344, 428)",
00224.png,"(286, 193)(360, 267)","(155, 184)(233, 262)","(193, 350)(337, 422)",
00225.png,"(281, 174)(376, 269)","(158, 189)(237, 268)","(183, 348)(309, 411)",
00226.png,"(280, 179)(374, 273)","(143, 180)(238, 275)","(160, 342)(324, 424)",
00227.png,"(291, 194)(358, 261)","(156, 192)(225, 261)","(190, 360)(311, 420)",
00228.png,"(292, 205)(356, 269)","(170, 208)(222, 260)","(234, 370)(305, 406)",
00229.png,"(293, 203)(356, 266)","(164, 206)(225, 267)","(201, 332)(314, 389)",
00230.png,"(284, 189)(364, 269)","(145, 183)(231, 269)","(205, 290)(313, 344)",
00231.png,"(300, 192)(367, 259)","(145, 182)(235, 272)","(193, 343)(336, 414)",
00232.png,"(300, 215)(333, 248)","(200, 369)(320, 429)",
00233.png,"(285, 184)(371, 270)","(159, 195)(226, 262)","(180, 359)(318, 428)",
00234.png,"(287, 200)(350, 263)","(161, 203)(221, 263)","(180, 347)(323, 418)",
00235.png,"(278, 195)(345, 262)","(175, 199)(235, 259)","(192, 356)(304, 412)",
00236.png,"(283, 185)(365, 267)","(163, 196)(225, 258)","(195, 366)(303, 420)",
00237.png,"(286, 176)(378, 268)","(157, 191)(234, 268)","(171, 336)(307, 404)",
00238.png,"(283, 182)(370, 269)","(160, 195)(233, 268)","(178, 334)(315, 402)",
00239.png,"(165, 339)(334, 423)",
00240.png,"(291, 198)(357, 264)","(157, 198)(224, 265)","(172, 352)(321, 427)",
00241.png,"(286, 195)(356, 265)","(180, 339)(346, 422)",
00242.png,"(294, 198)(363, 267)","(159, 205)(217, 263)","(181, 336)(327, 409)",
00243.png,"(284, 183)(366, 265)","(144, 183)(230, 269)","(194, 351)(325, 417)",
00244.png,"(277, 204)(348, 275)","(163, 201)(233, 271)","(179, 344)(333, 421)",
00245.png,"(299, 215)(340, 256)","(155, 196)(224, 265)","(192, 359)(311, 418)",
00246.png,"(282, 184)(367, 269)","(153, 190)(236, 273)","(188, 336)(323, 404)",
00247.png,"(287, 190)(363, 266)","(160, 196)(228, 264)","(177, 345)(315, 414)",
00248.png,"(296, 202)(362, 268)","(166, 198)(237, 269)","(192, 344)(333, 414)",
00249.png,"(289, 191)(366, 268)","(161, 196)(235, 270)","(176, 332)(328, 408)",
00250.png,"(187, 336)(317, 401)",
00251.png,"(290, 193)(366, 269)","(159, 197)(228, 266)","(186, 354)(329, 426)",
00252.png,"(291, 189)(369, 267)","(147, 187)(232, 272)","(175, 335)(347, 421)",
00253.png,"(282, 170)(381, 269)","(161, 198)(229, 266)","(186, 349)(313, 413)",
00254.png,"(296, 199)(356, 259)","(143, 176)(237, 270)","(190, 351)(315, 413)",
00255.png,"(279, 193)(354, 268)","(159, 196)(228, 265)","(212, 369)(308, 417)",
00256.png,"(283, 190)(363, 270)","(154, 188)(237, 271)","(177, 342)(347, 427)",
00257.png,"(292, 195)(363, 266)","(149, 187)(229, 267)","(185, 347)(333, 421)",
00258.png,"(212, 380)(289, 418)",
00259.png,"(287, 194)(358, 265)","(163, 190)(238, 265)","(213, 358)(321, 412)",
00260.png,"(282, 182)(367, 267)","(150, 182)(237, 269)","(196, 360)(320, 422)",
00261.png,"(143, 196)(228, 281)","(175, 344)(335, 424)",
00262.png,"(284, 184)(363, 263)","(155, 200)(218, 263)","(178, 344)(341, 426)",
00263.png,"(286, 189)(368, 271)","(152, 191)(230, 269)","(215, 291)(307, 337)",
00264.png,"(284, 198)(356, 270)","(157, 198)(222, 263)","(172, 348)(323, 423)",
00265.png,"(283, 191)(366, 274)","(158, 193)(230, 265)","(182, 337)(316, 404)",
00266.png,"(283, 192)(360, 269)","(145, 184)(233, 272)","(181, 327)(332, 403)",
00267.png,"(287, 194)(362, 269)","(154, 192)(229, 267)","(178, 350)(341, 431)",
00268.png,"(274, 206)(336, 268)","(165, 203)(247, 285)","(172, 392)(277, 444)",
00269.png,"(286, 215)(342, 271)","(150, 191)(234, 275)","(281, 400)(374, 446)",
00270.png,"(292, 201)(359, 268)","(151, 188)(231, 268)","(188, 345)(339, 420)",
00271.png,"(282, 185)(367, 270)","(155, 188)(238, 271)","(161, 322)(349, 416)",
00272.png,"(290, 211)(372, 293)","(257, 196)(352, 291)","(189, 346)(308, 406)",
00273.png,"(178, 341)(339, 421)",
00274.png,
00275.png,"(278, 179)(370, 271)","(151, 190)(229, 268)","(166, 345)(336, 430)",
00276.png,"(294, 198)(357, 261)","(160, 195)(229, 264)","(188, 338)(328, 408)",
00277.png,"(294, 188)(368, 262)","(142, 181)(237, 276)","(164, 364)(296, 430)",
00278.png,"(287, 195)(357, 265)","(153, 189)(230, 266)","(188, 351)(329, 421)",
00279.png,"(281, 181)(369, 269)","(156, 194)(224, 262)","(189, 355)(311, 416)",
00280.png,"(288, 189)(368, 269)","(157, 201)(219, 263)","(223, 358)(318, 405)",
00281.png,"(291, 195)(359, 263)","(159, 197)(223, 261)","(180, 352)(334, 429)",
00282.png,"(142, 209)(226, 293)","(172, 345)(344, 431)",
00283.png,"(275, 179)(378, 282)","(145, 188)(233, 276)","(177, 333)(335, 412)",
00284.png,"(291, 197)(358, 264)","(157, 194)(225, 262)","(191, 328)(325, 395)",
00285.png,"(285, 185)(366, 266)","(156, 190)(232, 266)","(202, 372)(304, 423)",
00286.png,"(286, 191)(363, 268)","(156, 193)(233, 270)","(171, 331)(331, 411)",
00287.png,"(288, 190)(366, 268)","(162, 204)(225, 267)","(176, 328)(319, 400)",
00288.png,"(279, 195)(352, 268)","(164, 203)(217, 256)","(199, 357)(313, 414)",
00289.png,"(275, 172)(376, 273)","(161, 196)(222, 257)","(182, 360)(323, 430)",
00290.png,"(283, 196)(357, 270)","(148, 189)(230, 271)","(195, 358)(319, 420)",
00291.png,"(241, 277)(276, 312)",
00292.png,"(163, 227)(200, 264)","(189, 294)(309, 354)",
00293.png,"(297, 199)(357, 259)","(153, 189)(237, 273)","(162, 339)(327, 421)",
00294.png,"(286, 189)(364, 267)","(154, 196)(226, 268)","(181, 342)(336, 419)",
00295.png,"(290, 195)(361, 266)","(155, 191)(233, 269)","(192, 343)(332, 413)",
00296.png,"(280, 184)(366, 270)","(159, 188)(238, 267)","(169, 344)(331, 425)",
00297.png,"(292, 188)(366, 262)","(147, 187)(232, 272)","(177, 336)(321, 408)",
00298.png,"(293, 186)(375, 268)","(152, 197)(218, 263)","(178, 344)(336, 423)",
00299.png,"(282, 216)(339, 273)","(154, 204)(224, 274)","(195, 347)(326, 413)",
00300.png,"(285, 191)(361, 267)","(152, 191)(227, 266)","(176, 337)(327, 412)",
00301.png,"(293, 198)(364, 269)","(156, 204)(219, 267)","(169, 314)(356, 407)",
00302.png,"(280, 187)(362, 269)","(153, 189)(225, 261)","(196, 363)(334, 432)",
00303.png,"(285, 199)(361, 275)","(205, 352)(330, 414)",
00304.png,"(278, 203)(353, 278)","(154, 193)(242, 281)","(217, 363)(304, 406)",
00305.png,"(160, 234)(183, 257)","(175, 344)(327, 420)",
00306.png,"(279, 190)(360, 271)","(154, 189)(236, 271)","(174, 338)(339, 420)",
00307.png,"(278, 198)(357, 277)","(153, 200)(238, 285)","(182, 342)(327, 415)",
00308.png,"(272, 186)(355, 269)","(165, 197)(229, 261)","(182, 358)(315, 425)",
00309.png,"(283, 188)(368, 273)","(151, 192)(225, 266)","(195, 343)(322, 406)",
00310.png,"(274, 179)(372, 277)","(155, 188)(241, 274)","(100, 286)(218, 345)",
00311.png,"(286, 191)(363, 268)","(149, 193)(225, 269)","(184, 327)(313, 391)",
00312.png,"(286, 198)(358, 270)","(148, 188)(228, 268)","(179, 339)(334, 417)",
00313.png,"(277, 182)(360, 265)","(153, 184)(242, 273)","(198, 367)(293, 415)",
00314.png,"(285, 190)(366, 271)","(151, 192)(231, 272)","(183, 339)(329, 412)",
00315.png,"(283, 187)(363, 267)","(155, 198)(225, 268)","(173, 347)(326, 423)",
00316.png,"(289, 192)(361, 264)","(162, 193)(234, 265)","(184, 349)(333, 423)",
00317.png,"(280, 186)(364, 270)","(147, 186)(231, 270)","(184, 341)(330, 414)",
00318.png,"(285, 189)(365, 269)","(150, 183)(232, 265)","(182, 345)(338, 423)",
00319.png,"(277, 176)(370, 269)","(153, 182)(243, 272)","(167, 356)(344, 445)",
00320.png,"(284, 197)(349, 262)","(161, 190)(234, 263)","(208, 355)(319, 411)",
00321.png,"(275, 211)(343, 279)","(154, 198)(234, 278)","(207, 371)(323, 429)",
00322.png,"(291, 195)(358, 262)","(161, 195)(226, 260)","(193, 345)(342, 420)",
00323.png,"(301, 200)(363, 262)","(150, 190)(227, 267)","(157, 346)(299, 417)",
00324.png,"(287, 197)(359, 269)","(153, 194)(228, 269)","(170, 349)(324, 426)",
00325.png,"(286, 189)(368, 271)","(152, 188)(228, 264)","(195, 348)(319, 410)",
00326.png,"(281, 200)(340, 259)","(167, 187)(248, 268)",
00327.png,"(277, 191)(359, 273)","(139, 178)(237, 276)","(177, 345)(334, 423)",
00328.png,"(290, 193)(360, 263)","(148, 186)(232, 270)","(198, 350)(311, 406)",
00329.png,"(283, 183)(371, 271)","(153, 195)(226, 268)","(169, 330)(338, 414)",
00330.png,"(282, 214)(330, 262)","(160, 204)(232, 276)","(178, 358)(304, 421)",
00331.png,"(299, 200)(361, 262)","(176, 348)(323, 421)",
00332.png,"(288, 192)(364, 268)","(158, 194)(228, 264)","(195, 355)(314, 414)",
00333.png,"(288, 214)(337, 263)","(154, 173)(249, 268)","(201, 347)(337, 415)",
00334.png,"(154, 222)(215, 283)","(171, 334)(321, 409)",
00335.png,"(294, 200)(357, 263)","(164, 201)(230, 267)","(198, 328)(340, 399)",
00336.png,"(277, 179)(373, 275)","(153, 188)(228, 263)",
00337.png,"(288, 188)(361, 261)","(161, 197)(224, 260)","(196, 349)(316, 409)",
